scheme,outer_fold,model,n_train,n_test,n_train_holes,n_test_holes,test_TFe_mean,test_TFe_sd,high_grade_threshold,n_high_grade_test,rmse,mae,r2,bias,correlation,calibration_slope,calibration_intercept,length_weighted_rmse,length_weighted_mae,high_grade_rmse,high_grade_mae,high_grade_bias
drillhole,1,OrdinaryKriging,798,202,23,6,25.42806930693069,6.5441961476604025,32.192,13,6.830795121877059,5.411644794386033,-0.09492712670470516,-0.8230581451642677,0.06500284345388316,0.18386076456199768,20.904173142671855,6.3892510762329,5.147110241330904,10.804081066447855,10.622777029208825,-10.622777029208825
drillhole,1,XGBoost,798,202,23,6,25.42806930693069,6.5441961476604025,32.192,13,5.739004105225387,4.080324462286316,0.2271134189166737,0.8191849041929338,0.49364307386368056,0.9450849639203451,0.6221840078027818,4.819922797597909,3.568337637144999,7.733619554933952,7.508256072998047,-7.508256072998047
drillhole,1,OOFResidualKriging,798,202,23,6,25.42806930693069,6.5441961476604025,32.192,13,5.701934308953396,4.316653622414502,0.237065743770136,0.4884298266462574,0.5013949182331159,0.8428999621841602,3.5830531672928716,4.89947809356904,3.853167203900351,7.308656290139689,7.081444566551218,-7.081444566551218
drillhole,1,ConvexFusion,798,202,23,6,25.42806930693069,6.5441961476604025,32.192,13,5.734272035866169,4.10881319126599,0.2283874535800856,0.7022011837313071,0.48986102019946703,0.9952349039376098,-0.5776879347070598,4.854906532659211,3.6268229249775366,7.941184037156365,7.730116260586536,-7.730116260586536
drillhole,2,Mean,806,194,24,5,25.388505154639176,5.8647909938486045,32.405,5,5.857900893536741,4.5148486863984045,-0.0028209111106130003,0.31068839374792157,-2.160116825995497e-16,,,5.4050410808189895,4.26892432698423,9.907249056936577,9.550806451612905,-9.550806451612905
drillhole,2,OrdinaryKriging,806,194,24,5,25.388505154639176,5.8647909938486045,32.405,5,6.697291566718333,5.109513097176557,-0.31080398943884147,0.5758145262214306,-0.09781145561031723,-0.21282947231826638,30.91447761141952,6.317379684406965,4.879969396545417,8.899139935679553,7.59255969941205,-7.59255969941205
drillhole,2,XGBoost,806,194,24,5,25.388505154639176,5.8647909938486045,32.405,5,5.219384192080292,3.830880848796097,0.20388121134921577,0.30736259519439385,0.48573062336527534,0.7394508230939826,6.38767459691062,4.729479915978085,3.6109716974305557,8.261284321260352,6.958627319335939,-6.958627319335939
drillhole,2,OOFResidualKriging,806,194,24,5,25.388505154639176,5.8647909938486045,32.405,5,5.9057756261669985,4.567360992374858,-0.019279355218555727,0.10629954250857694,0.38130261335292875,0.4846909023465303,13.031405260830066,5.572807314768896,4.458108209699509,7.724157124792953,6.000779823785531,-6.000779823785531
drillhole,2,ConvexFusion,806,194,24,5,25.388505154639176,5.8647909938486045,32.405,5,5.258589050055745,3.916662733311502,0.19187636760267912,0.3469179912386326,0.45827438148213706,0.7912259701686429,5.025970008341448,4.795415604967088,3.7066528786915636,8.27960418442106,7.052033555751999,-7.052033555751999
drillhole,3,Mean,796,204,23,6,25.02259803921569,7.535750106667811,31.97,22,7.557027151937813,5.648119395999606,-0.010608898708545311,0.7742738200807979,-5.710676261742892e-16,,,6.766233873239206,5.0418083271613785,10.842843018383512,10.17812814070352,-10.17812814070352
