scenario,method,replicates,r2_mean,r2_q025,r2_q975,probability_r2_positive,rmse_mean,abs_bias_mean,far_quartile_r2_mean,fold_r2_std_mean,kriging_fallback_count_total,scenario_label,method_label
S5_sparse_far_extrapolation,M0_mean,30,-0.0405791201774732,-0.1350335775434356,-0.007482609371584,0.0,7.303006371085009,0.0425249804641289,-0.0910810120773278,0.1467566787540641,0,S5 sparse/far,Mean
S5_sparse_far_extrapolation,M1_idw,30,-0.234001676610163,-0.8607296358799494,0.0295893228431297,0.0666666666666666,7.926231689680906,1.3341881771939783,-0.3203837700531572,0.3844217836830213,0,S5 sparse/far,IDW
S5_sparse_far_extrapolation,M2_ordinary_kriging,30,-0.0729658183865936,-0.2919340993859133,0.0387105102159356,0.1666666666666666,7.409907773837005,0.7972027329928777,-0.0928845629158375,0.2040130450418149,0,S5 sparse/far,Ordinary kriging
S5_sparse_far_extrapolation,M3_catboost_coordinates,30,-0.1102477987943771,-0.3679984201506162,0.0237813316886916,0.1666666666666666,7.53401209789331,0.6157589221458861,-0.1893029182884956,0.2420951334098489,0,S5 sparse/far,Coordinate CatBoost
S5_sparse_far_extrapolation,M4_crossfitted_residual_kriging,30,-0.2907038382693912,-0.8940598387614178,0.0343787193613431,0.0666666666666666,8.09708730668879,1.2164072202603455,-0.35558946516684,0.4463724918289609,0,S5 sparse/far,Residual kriging
S6_target_leakage,M0_mean,30,-0.2166409922784981,-0.5253649036108294,-0.0541425802495308,0.0,7.794529165942242,0.1137998033031587,-0.528009424035054,2.400753953261045,0,S6 leakage,Mean
S6_target_leakage,M1_idw,30,-0.1052344277579419,-0.6678194342519405,0.4453701230694151,0.4333333333333333,7.348429888744111,2.1221084696549943,-1.9514354007329708,1.069877784289182,0,S6 leakage,IDW
S6_target_leakage,M2_ordinary_kriging,30,0.0671266717453804,-0.5556357211210502,0.6165493384148705,0.6,6.719314723004768,2.200053948775448,-1.3486185235724255,0.90935215014281,0,S6 leakage,Ordinary kriging
S6_target_leakage,M3_catboost_coordinates,30,-0.1022142543336699,-0.5434632247315958,0.4676517632046167,0.3,7.360915512047587,1.3520648746584427,-1.345965931860574,1.1216295031861587,0,S6 leakage,Coordinate CatBoost
S6_target_leakage,M4_crossfitted_residual_kriging,30,-0.8807953882550972,-1.8673363229282225,0.1981603605687114,0.1,9.529972364615132,3.4423287201068007,-4.1229291363189775,2.758959674663998,0,S6 leakage,Residual kriging
S6_target_leakage,M5_leakage_positive_control,30,0.5288014737405949,0.2615663122519369,0.7303723960517179,1.0,4.81170874018305,0.658117424694093,0.0610305548682931,0.518647729543612,0,S6 leakage,Leakage control
